address,x,y,zone,type
188,48,74,storage,SLM
189,54,74,storage,SLM
190,60,74,storage,SLM
191,66,74,storage,SLM
192,72,74,storage,SLM
193,78,74,storage,SLM
194,84,74,storage,SLM
195,90,74,storage,SLM
196,96,74,storage,SLM
197,102,74,storage,SLM
198,108,74,storage,SLM
199,114,74,storage,SLM
200,0,80,storage,SLM
201,6,80,storage,SLM
202,12,80,storage,SLM
203,18,80,storage,SLM
204,24,80,storage,SLM
205,30,80,storage,SLM
206,36,80,storage,SLM
207,42,80,storage,SLM
208,48,80,storage,SLM
209,54,80,storage,SLM
210,60,80,storage,SLM
211,66,80,storage,SLM
212,72,80,storage,SLM
213,78,80,storage,SLM
214,84,80,storage,SLM
215,90,80,storage,SLM
216,96,80,storage,SLM
217,102,80,storage,SLM
218,108,80,storage,SLM
219,114,80,storage,SLM
220,0,86,storage,SLM
221,6,86,storage,SLM
222,12,86,storage,SLM
223,18,86,storage,SLM
224,24,86,storage,SLM
225,30,86,storage,SLM
226,36,86,storage,SLM
227,42,86,storage,SLM
228,48,86,storage,SLM
229,54,86,storage,SLM
230,60,86,storage,SLM
231,66,86,storage,SLM
232,72,86,storage,SLM
233,78,86,storage,SLM
234,84,86,storage,SLM
235,90,86,storage,SLM
236,96,86,storage,SLM
237,102,86,storage,SLM
238,108,86,storage,SLM
239,114,86,storage,SLM
240,0,92,storage,SLM
241,6,92,storage,SLM
242,12,92,storage,SLM
243,18,92,storage,SLM
244,24,92,storage,SLM
245,30,92,storage,SLM
246,36,92,storage,SLM
247,42,92,storage,SLM
248,48,92,storage,SLM
249,54,92,storage,SLM
250,60,92,storage,SLM
251,66,92,storage,SLM
252,72,92,storage,SLM
253,78,92,storage,SLM
254,84,92,storage,SLM
255,90,92,storage,SLM
256,96,92,storage,SLM
257,102,92,storage,SLM
258,108,92,storage,SLM
259,114,92,storage,SLM
260,0,98,storage,SLM
261,6,98,storage,SLM
262,12,98,storage,SLM
263,18,98,storage,SLM
264,24,98,storage,SLM
265,30,98,storage,SLM
266,36,98,storage,SLM
267,42,98,storage,SLM
268,48,98,storage,SLM
269,54,98,storage,SLM
270,60,98,storage,SLM
271,66,98,storage,SLM
272,72,98,storage,SLM
273,78,98,storage,SLM
274,84,98,storage,SLM
275,90,98,storage,SLM
276,96,98,storage,SLM
277,102,98,storage,SLM
278,108,98,storage,SLM
279,114,98,storage,SLM
280,0,104,storage,SLM
281,6,104,storage,SLM
282,12,104,storage,SLM
283,18,104,storage,SLM
284,24,104,storage,SLM
285,30,104,storage,SLM
286,36,104,storage,SLM
287,42,104,storage,SLM
288,48,104,storage,SLM
289,54,104,storage,SLM
290,60,104,storage,SLM
291,66,104,storage,SLM
292,72,104,storage,SLM
293,78,104,storage,SLM
294,84,104,storage,SLM
295,90,104,storage,SLM
296,96,104,storage,SLM
297,102,104,storage,SLM
298,108,104,storage,SLM
299,114,104,storage,SLM
300,0,110,storage,SLM
301,6,110,storage,SLM
302,12,110,storage,SLM
303,18,110,storage,SLM
304,24,110,storage,SLM
305,30,110,storage,SLM
306,36,110,storage,SLM
307,42,110,storage,SLM
308,48,110,storage,SLM
309,54,110,storage,SLM
310,60,110,storage,SLM
311,66,110,storage,SLM
312,72,110,storage,SLM
313,78,110,storage,SLM
314,84,110,storage,SLM
315,90,110,storage,SLM
316,96,110,storage,SLM
317,102,110,storage,SLM
318,108,110,storage,SLM
319,114,110,storage,SLM
320,0,136,readout,SLM
321,6,136,readout,SLM
322,12,136,readout,SLM
323,18,136,readout,SLM
324,24,136,readout,SLM
325,30,136,readout,SLM
326,36,136,readout,SLM
327,42,136,readout,SLM
328,48,136,readout,SLM
329,54,136,readout,SLM
330,60,136,readout,SLM
331,66,136,readout,SLM
332,72,136,readout,SLM
333,78,136,readout,SLM
334,84,136,readout,SLM
335,90,136,readout,SLM
336,96,136,readout,SLM
337,102,136,readout,SLM
338,108,136,readout,SLM
339,114,136,readout,SLM
340,0,142,readout,SLM
341,6,142,readout,SLM
342,12,142,readout,SLM
343,18,142,readout,SLM
344,24,142,readout,SLM
345,30,142,readout,SLM
346,36,142,readout,SLM
347,42,142,readout,SLM
348,48,142,readout,SLM
349,54,142,readout,SLM
350,60,142,readout,SLM
351,66,142,readout,SLM
352,72,142,readout,SLM
353,78,142,readout,SLM
354,84,142,readout,SLM
355,90,142,readout,SLM
356,96,142,readout,SLM
357,102,142,readout,SLM
358,108,142,readout,SLM
359,114,142,readout,SLM
360,0,148,readout,SLM
361,6,148,readout,SLM
362,12,148,readout,SLM
363,18,148,readout,SLM
364,24,148,readout,SLM
365,30,148,readout,SLM
366,36,148,readout,SLM
367,42,148,readout,SLM
368,48,148,readout,SLM
369,54,148,readout,SLM
370,60,148,readout,SLM
371,66,148,readout,SLM
372,72,148,readout,SLM
373,78,148,readout,SLM
374,84,148,readout,SLM
375,90,148,readout,SLM
376,96,148,readout,SLM
377,102,148,readout,SLM
378,108,148,readout,SLM
379,114,148,readout,SLM
380,0,154,readout,SLM
381,6,154,readout,SLM
382,12,154,readout,SLM
383,18,154,readout,SLM
384,24,154,readout,SLM
385,30,154,readout,SLM
386,36,154,readout,SLM
387,42,154,readout,SLM
388,48,154,readout,SLM
389,54,154,readout,SLM
390,60,154,readout,SLM
391,66,154,readout,SLM
392,72,154,readout,SLM
393,78,154,readout,SLM
394,84,154,readout,SLM
395,90,154,readout,SLM
396,96,154,readout,SLM
397,102,154,readout,SLM
398,108,154,readout,SLM
399,114,154,readout,SLM
